Pre_name,食料品製造額,飲料やたばこおよび飼料製造業,繊維工業製造額,木材および木製品製造額,家具および装備品製造業,パルプや紙および紙加工製造業,印刷関連業製造額,化学工業製造額,石油および石炭製品製造額,プラスチック製品製造業,ゴム製品製造業,なめし革および毛皮製造業,窯業および石製品製造額,鉄鋼業製造額,非鉄金属製造業,金属製品製造業,はん用機械器具製造業,生産用機械器具製造業,業務用機械器具製造業,電子部品および電子回路製造額,電気機械器具製造業,情報通信機械器具製造業,輸送用機械器具製造業,その他の製造業
Hokkaido,2209056,242241,28019,169330,44603,387427,109038,188615,784831,93879,12488,6995,199071,395386,15512,315772,57578,99902,7529,206462,41752,12898,382084,38426
Aomori,378540,108650,20108,18687,5480,100813,16593,35790,8453,16827,1867,0,41958,93067,274946,58343,4785,42950,123886,251586,65051,5238,46621,6867
Iwate,390229,47009,27427,59778,6376,56218,35967,52703,11163,85512,6217,8475,101443,94833,27916,122944,118445,274387,116784,196023,61184,29262,651042,44872
Miyagi,657946,188132,18014,84741,11244,189072,94639,84086,552077,105436,72269,1344,121126,182389,83400,207579,31066,419393,74109,440575,160097,146169,564341,44322
Akita,111846,21703,35941,69038,10101,38748,11487,60405,4948,25962,4351,2145,34421,18998,66794,74954,19529,100350,85404,373368,28493,8901,67079,11207
Yamagata,327281,45009,47007,23197,25721,23723,29531,267878,4362,62105,4084,19627,109528,30659,54014,106210,65210,243316,57423,500710,157818,327993,126105,187122
Fukushima,312767,133853,43564,59341,54568,209387,42862,544851,16329,229540,202710,14999,198401,117309,201272,274319,214905,165337,275732,485027,225991,521236,504058,40606
Ibaraki,1450279,543262,59106,167490,62168,247335,128599,1679554,67285,809852,77604,2444,336570,830956,648438,852581,632420,1244098,262380,409771,831479,56326,968368,212872
Tochigi,658377,935194,56899,100081,51672,276316,60011,697721,24720,597090,153778,2217,168176,244310,397237,496242,344596,678092,288332,215143,961251,170155,1310687,78125
Gunma,850047,341117,47236,73889,42890,91379,79678,774893,8935,550009,48929,688,95532,270488,124273,465429,276872,305188,366860,205933,444908,91226,3349337,76211
Saitama,2048853,204439,85129,67670,140303,504161,704185,1735581,38618,678622,131830,13814,280457,376433,590433,784799,417611,572899,477955,337596,489415,377297,2423183,276882
Chiba,1623769,390508,24448,70502,98195,141914,106091,2200943,2847956,289545,45000,11440,302015,1626987,342934,690878,228540,572898,142266,178611,178255,148082,131385,125155
Tokyo,729928,103193,54471,10766,118017,137437,742493,382970,29945,118947,34144,61375,159573,164620,146353,272446,181206,391308,304016,325476,774003,477667,1208746,231656
Kanagawa,1669233,419552,39656,21423,74279,223419,174115,1965401,2337308,483142,109151,8616,293886,679193,344974,685566,787751,1167859,549649,380137,760431,704689,3745245,121464
Niigata,813921,77538,73322,32537,43761,211992,83257,639213,17385,190996,15528,2522,102127,223159,81227,561925,223867,419956,142373,336133,317310,73514,243861,31476
Toyama,152593,66818,56021,33511,37838,151787,33868,777711,5896,181061,15434,3001,100605,186870,382735,420057,79815,502194,35601,327157,54161,7736,157654,142273
Ishikawa,187905,12358,192938,24638,62590,25306,75592,174427,5035,59290,5524,400,73680,60891,37339,149233,117768,747652,121384,371877,110920,186840,172679,29631
Fukui,58283,6038,230561,79850,15560,87633,31926,246769,5016,171516,0,0,57092,25460,135652,117438,21353,100820,9595,341023,207003,8746,201433,97834
Yamanashi,217142,186017,34410,8882,7297,22917,19738,48817,2718,90662,22962,3268,74667,8719,43227,107701,102360,755766,107827,221053,105048,131457,105586,53740
Nagano,586602,149731,17645,29249,23973,81596,69282,94773,8058,190221,14907,2935,146127,53931,115074,352270,398283,696908,398126,736236,370056,1087300,402740,131822
Gifu,378424,76625,140573,71838,107402,224785,90595,281404,11894,531327,63918,283,385001,244645,97413,492296,338134,511618,57081,166086,332569,99376,1157751,53250
Shizuoka,1369890,965404,110861,210794,101536,870947,149812,1902279,28858,755933,191571,7716,157813,217968,505413,581938,324003,853850,260246,323245,2506608,276364,4284150,196800
Aichi,1720006,435625,352833,142973,141159,453006,309388,1312675,771493,1670754,432226,24427,840885,2392145,538542,1656718,1346364,2306021,777828,306493,2774416,202569,26663352,352490
Mie,500635,93670,48380,81716,40888,91844,32928,1287921,524792,524745,224398,0,274749,118409,418873,408218,363919,322933,186445,1495693,697768,143360,2731960,103014
Shiga,414708,138167,222281,32603,62871,183821,103423,1036540,6895,673968,109884,427,382446,112396,152138,422187,744949,593165,181029,445798,746271,48813,1085879,147822
Kyoto,571063,837899,96712,57710,20482,130874,207427,210639,8766,159022,21200,8960,206508,76251,96221,214445,196133,429148,305716,391051,369878,92290,436753,513636
Osaka,1314582,244862,281173,93410,171250,350687,451346,1657040,1351559,808800,132737,22040,230526,1441868,768901,1584434,893409,1510560,196160,391753,1050493,232634,1562174,195958
Hyōgo,1683641,460064,120558,55590,70110,320082,132687,2157806,171655,485241,136348,55952,315796,1960286,294539,870977,1207632,1207998,281428,381997,1516764,455211,1741964,178986
Nara,249675,23427,64190,53985,30244,62607,59087,120484,0,163987,65970,5546,32322,36749,26265,165250,58372,148315,141656,2010,51233,0,176692,371516
Wakayama,186105,53326,69205,38609,16067,39147,12788,380481,543817,45562,21005,1056,44250,516878,23412,92341,365244,109286,14927,17200,16647,3170,19473,17600
Tottori,157198,24318,16834,23926,2114,98647,9964,5166,2219,24671,7576,0,9391,17010,0,44605,10058,23057,7839,148025,86984,25815,28912,4644
Shimane,70829,12878,33055,45761,7397,30964,8752,33274,2524,28690,6894,870,36919,167349,17226,41489,62547,64019,19486,244825,38072,177518,83146,2710
Okayama,550285,165044,231725,85678,32476,119694,105271,1101805,1207115,295358,114870,1829,245440,956203,83774,262172,247685,323423,27150,272118,207324,22661,1004777,40259
Hiroshima,652431,46897,126140,161658,39950,109720,80370,434332,13419,587701,100476,3542,135933,1186977,283928,329633,525650,896025,85584,335916,250388,13328,3256942,84590
Yamaguchi,221125,50148,56156,46631,3698,95954,27177,1978346,952210,125740,179195,0,234274,620736,119471,194225,103369,239343,0,67315,32804,0,1181705,12292
Tokushima,143511,34709,24298,39599,28560,119790,13691,629526,0,48715,9232,226,19581,39953,0,77240,67827,71651,333,438357,52525,0,17233,28084
Kagawa,347225,18576,40811,61126,12817,132122,58543,167323,155875,129566,16627,6840,67948,49448,421240,179245,116714,173139,7773,42705,177582,0,304535,23802
Ehime,301064,65004,189565,36737,7277,570167,22585,343946,611839,175013,4312,0,41198,117620,735300,73071,183823,242665,0,36992,104371,0,431062,10980
Kochi,107442,12835,14148,21670,3981,65343,10539,10791,2476,12111,0,0,61370,42500,0,19284,13589,73086,24861,0,10218,0,38494,24360
Fukuoka,1080252,563065,54749,55135,78888,93507,184348,498216,99977,311485,249292,3174,378768,976907,142222,567971,184711,443588,35155,190155,312377,13798,3353780,40671
Saga,355299,109637,24351,27860,29023,80539,15674,160044,3457,59847,56346,9731,43744,38997,118850,105828,19588,96874,4182,201595,184986,9256,250575,63551
Naoasaki,305603,25494,28483,6818,5273,4632,10806,21989,1622,19810,980,0,44173,33631,708,70079,338470,35173,40595,300328,45280,0,301910,11403
Kumamoto,390335,127452,28593,43534,9972,96096,34443,132788,11460,127865,74199,0,82282,57623,39877,177671,8907,487038,11193,342004,143808,0,396348,11750
Oita,153935,127311,20344,29886,10710,36457,12555,549596,549989,81934,22850,3177,114038,587407,559953,74104,88928,58274,89999,269260,37932,173615,640361,6332
Miyazaki,325225,207147,89340,58520,5884,40618,14835,152128,5143,58664,112992,0,34830,21679,3323,39220,20635,61451,27226,174226,43824,53642,63211,20820
Kagoshima,687537,389938,13085,20629,4628,51383,18725,25177,5906,15791,0,0,168966,4503,39687,51539,5547,65025,4608,292290,88543,8378,15822,15739
Okinawa,184568,70112,3727,1752,4541,5859,18614,7967,6186,10416,0,0,67849,26807,0,52426,1846,5327,3624,0,5045,0,2574,5280
